student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating,engagement_score,performance_score,study_consistency,course_load_ratio,activity_rate
James Palmer,21.0,Male,Ncr,Broadband,Graduate,Employed,Desktop,11.0,Personal Interest,11.0,Machine Learning A-Z,Science,Intermediate,15.0,4.0,24.0,2023-07-11,Ongoing,2024-03-02,133.0,30.0,9.0,18.0,165.8,Quiz,78.89,71.65,51.67,3.0,19.0,61.660000000000004,1823.8000000000002,1.0,3990.0
Megan Acosta,49.0,Non-Binary,Region Iv-A,Limited,College,Student,Laptop,6.9,Skill Upgrade,15.0,Web Development Bootcamp,IT,Beginner,14.0,6.0,21.0,2023-12-05,Dropped,2022-09-26,36.2,23.0,10.0,1.0,125.0,Assignment,72.74,84.87,46.74,4.0,11.333333333333334,65.805,862.5,1.0,832.6
Monica Lopez,52.0,Female,Region Ix,Broadband,College,Employed,Desktop,11.0,Skill Upgrade,4.0,Python For Beginners,Business,Intermediate,16.0,6.0,20.0,2023-07-08,Completed,2023-07-13,97.3,3.0,14.0,28.0,268.7875,Assignment,46.5,64.89500000000001,95.16,3.0,15.0,80.0275,2956.6625000000004,0.1875,291.9
Frederick Cervantes,46.0,Male,Region Viii,Broadband,Graduate,Employed,Tablet,-1.1,Skill Upgrade,6.0,Cloud Computing Basics,IT,Advanced,21.0,12.0,-6.0,2024-09-05,Ongoing,2024-07-25,152.2,16.0,32.0,22.0,83.0,Quiz,69.95,76.78,55.24,5.0,23.333333333333332,66.01,-91.30000000000001,0.7619047619047619,2435.2
Donald Mitchell,40.0,Male,Region I,Broadband,College,Employed,Mobile,1.3,Skill Upgrade,7.0,Data Science Fundamentals,IT,Advanced,28.0,-6.5,21.0,,Ongoing,2024-08-09,91.4,-5.0,49.0,1.0,17.4,Quiz,52.09,57.88,65.445,2.0,15.0,61.662499999999994,22.619999999999997,0.0,-457.0
Julia Wilson,37.0,Female,Region Iv-A,Broadband,Hs,Employed,Laptop,7.4,Academic Requirement,15.0,Cloud Computing Basics,Business,Beginner,28.0,16.0,9.0,,Dropped,2023-08-29,112.4,23.0,75.5,19.0,56.7,Quiz,35.25,55.43,77.56,2.0,39.166666666666664,66.495,419.58000000000004,0.8214285714285714,2585.2000000000003
Robert Evans,18.0,Female,Region Ix,Broadband,College,Employed,Laptop,10.5,Career Change,14.0,Ui/Ux Design Principles,Science,Intermediate,7.0,19.0,14.0,,Completed,2023-01-17,75.8,9.0,45.0,19.0,165.8,Quiz,-6.691250000000011,42.09,99.81,3.0,24.333333333333332,70.95,1740.9,1.0,682.1999999999999
Allen Schmidt,50.0,Female,Barmm,Mobile,High School,Employed,Tablet,13.1,Academic Requirement,7.0,Cybersecurity Essentials,IT,Intermediate,30.0,14.0,15.0,,Completed,2022-05-15,179.9,17.0,26.0,2.0,-63.9,Assignment,77.61,91.46,74.79,2.0,15.0,83.125,-837.0899999999999,0.5666666666666667,3058.3
Maria Jackson,49.0,Male,Region Vii,Broadband,Graduate,Student,Laptop,19.0,Skill Upgrade,2.0,Cloud Computing Basics,Business,Beginner,25.0,20.0,24.0,2022-12-11,Ongoing,2023-11-23,105.8,1.0,41.0,8.0,140.4,Quiz,32.12,68.19,51.15,4.0,16.666666666666668,59.67,2667.6,0.04,105.8
Christopher Suarez,26.0,Male,Region Iv-A,Mobile,College,Student,Mobile,6.9,Career Change,11.0,Web Development Bootcamp,IT,Intermediate,21.0,13.0,7.0,,Completed,2023-08-18,156.9,28.0,20.0,23.0,139.7,Final Exam,62.68,64.82,57.53,2.0,23.666666666666668,61.175,963.93,1.0,4393.2
Christina Garcia,34.0,Non-Binary,Region Ii,Limited,College,Unemployed,Mobile,17.1,Skill Upgrade,11.0,Ui/Ux Design Principles,IT,Intermediate,6.0,9.0,13.0,,Ongoing,2023-07-27,116.0,5.0,25.0,10.0,72.2,Final Exam,65.64,33.17,53.31,4.0,13.333333333333334,43.24,1234.6200000000001,0.8333333333333334,580.0
Lisa Sanchez,55.0,Female,Region X,Broadband,College,Student,Laptop,10.6,Personal Interest,9.0,Python For Beginners,Science,Intermediate,26.0,16.0,14.0,,Dropped,2023-04-12,109.2,21.0,49.0,4.0,51.2,Quiz,65.33,51.96,78.34,5.0,24.666666666666668,65.15,542.72,0.8076923076923077,2293.2000000000003
James Hensley,24.0,Male,Region Xi,Broadband,Graduate,Unemployed,Laptop,7.0,Academic Requirement,10.0,Business Analytics,Math,Intermediate,11.0,11.0,11.0,2023-02-09,Ongoing,2023-03-01,93.1,18.0,50.0,9.0,125.0,Assignment,87.29,86.32,50.13,3.0,25.666666666666668,68.225,875.0,1.0,1675.8
Stephanie Wright,46.0,Female,Region Vii,Limited,Graduate,Employed,Mobile,3.1,Skill Upgrade,-7.0,Cloud Computing Basics,Business,Beginner,12.0,16.0,19.0,2023-12-05,Ongoing,2022-11-20,169.0,16.0,48.0,10.0,20.1,Quiz,70.19,80.62,93.93,2.0,24.666666666666668,87.275,62.31000000000001,1.0,2704.0
Daniel Richards,41.0,Male,Ncr,Broadband,College,Student,Mobile,6.7,Skill Upgrade,9.0,Cloud Computing Basics,Arts,Intermediate,9.0,17.0,7.0,,Ongoing,2024-05-07,67.3,22.0,11.0,20.0,150.6,Quiz,58.06,98.72,65.445,4.0,17.666666666666668,82.0825,1009.02,1.0,1480.6
David Chen,37.0,Other,Region Vi,Mobile,College,Student,Laptop,-8.55,Career Change,14.0,Machine Learning A-Z,IT,Intermediate,27.0,6.0,13.0,,Completed,2024-09-06,137.1,14.0,30.0,25.0,47.1,Assignment,71.71,66.79,55.32,7.0,23.0,61.05500000000001,-402.70500000000004,0.5185185185185185,1919.3999999999999
Renee White,50.0,Female,Barmm,Limited,College,Student,Desktop,4.9,Career Change,14.0,Digital Marketing,IT,Advanced,18.0,4.0,13.0,,Completed,2023-03-23,17.7,3.0,3.0,2.0,90.3,Quiz,83.83,98.48,59.43,4.0,2.6666666666666665,78.955,442.47,0.16666666666666666,53.099999999999994
Samantha Garrett,50.0,Female,Ncr,Mobile,Graduate,Employed,Desktop,3.4,Career Change,0.0,Digital Marketing,IT,Intermediate,22.0,15.0,11.0,,Ongoing,2024-05-07,122.2,30.0,1.0,2.0,15.7,Assignment,91.05,33.1,67.78,1.0,11.0,50.44,53.379999999999995,1.0,3666.0
Joseph Chen,52.0,Female,Region Ix,Limited,College,Employed,Laptop,17.6,Academic Requirement,7.0,Business Analytics,IT,Advanced,23.0,8.0,17.0,2022-07-04,Completed,2024-02-20,64.2,5.0,11.0,15.0,48.3,Quiz,86.4,69.37,69.01,2.0,10.333333333333334,69.19,850.08,0.21739130434782608,321.0
Desiree Mcconnell,44.0,Male,Region Vi,Mobile,College,Student,Laptop,8.2,Career Change,2.0,Mobile App Development,IT,Intermediate,22.0,9.0,14.0,2022-01-02,Completed,2022-08-29,138.2,23.0,13.0,7.0,141.8,Final Exam,75.41,55.18,62.62,4.0,14.333333333333334,58.9,1162.76,1.0,3178.6
Joshua Moore,39.0,Male,Region Vi,Mobile,Graduate,Student,Mobile,6.0,Academic Requirement,13.0,Cybersecurity Essentials,Business,Beginner,17.0,10.0,24.0,,Ongoing,2024-10-01,134.6,5.0,31.0,28.0,268.7875,Quiz,96.16,83.5,88.98,3.0,21.333333333333332,86.24000000000001,1612.7250000000001,0.29411764705882354,673.0
Ashley Williams,19.0,Non-Binary,Ncr,Mobile,Graduate,Employed,Desktop,1.3,Personal Interest,7.0,Business Analytics,Arts,Intermediate,5.0,16.0,9.0,,Completed,2023-01-29,52.9,26.0,23.0,14.0,178.3,Final Exam,-6.691250000000011,99.42,32.22,4.0,21.0,65.82,231.79000000000002,1.0,1375.3999999999999
Gregory Miller,26.0,Female,Region I,Broadband,Graduate,Student,Desktop,18.5,Academic Requirement,15.0,Data Science Fundamentals,IT,Intermediate,22.0,4.0,14.0,2023-01-03,Completed,2024-03-26,60.9,19.0,24.0,17.0,138.5,Final Exam,80.69,133.78125000000003,-1.7637499999999946,5.0,20.0,66.00875000000002,2562.25,0.8636363636363636,1157.1
Katherine Hampton,35.5,Female,Region Ix,Broadband,Graduate,Student,Laptop,11.5,Skill Upgrade,12.0,Mobile App Development,Business,Intermediate,27.0,11.0,24.0,2024-08-03,Completed,2024-05-07,62.4,9.0,5.0,14.0,97.1,Quiz,54.77,71.86,56.97,4.0,9.333333333333334,64.41499999999999,1116.6499999999999,0.3333333333333333,561.6
Michelle Calhoun,31.0,Male,Region Ii,Broadband,College,Student,Laptop,6.7,Career Change,5.0,Machine Learning A-Z,Business,Intermediate,30.0,11.0,24.0,2023-05-02,Completed,2024-05-07,77.3,13.0,21.0,13.0,156.1,Quiz,51.03,78.67,42.43,3.0,15.666666666666666,60.55,1045.87,0.43333333333333335,1004.9
Stacey Green,52.0,Female,Region Xi,Broadband,College,Employed,Laptop,3.2,Academic Requirement,5.0,Cloud Computing Basics,IT,Advanced,19.0,9.0,13.0,,Dropped,2024-10-19,61.5,5.0,50.0,14.0,91.5,Assignment,94.64,64.89500000000001,97.79,5.0,23.0,81.3425,292.8,0.2631578947368421,307.5
John Moore,31.0,Female,Region Vii,Broadband,Graduate,Student,Tablet,19.7,Personal Interest,10.0,Machine Learning A-Z,IT,Beginner,8.0,19.0,21.0,,Dropped,2024-08-06,110.1,12.0,30.0,13.0,24.6,Final Exam,39.92,61.87,63.8,4.0,18.333333333333332,62.834999999999994,484.62,1.0,1321.1999999999998
Crystal French,76.0,Male,Ncr,Broadband,High School,Student,Desktop,16.2,Skill Upgrade,7.0,Cloud Computing Basics,IT,Intermediate,22.0,17.0,16.0,,Dropped,2024-05-07,114.4,19.0,0.0,6.0,129.6,Final Exam,37.12,43.09,62.03,4.0,8.333333333333334,52.56,2099.52,0.8636363636363636,2173.6
Gary Howard,40.0,Male,Ncr,Broadband,College,Employed,Tablet,4.3,Skill Upgrade,2.0,Ui/Ux Design Principles,IT,Intermediate,14.0,14.0,20.0,2022-10-10,Dropped,2023-01-16,101.4,30.0,35.0,9.0,63.5,Quiz,90.59,63.92,56.88,4.0,24.666666666666668,60.400000000000006,273.05,1.0,3042.0
Michael Fitzgerald,44.0,Male,Region Vi,Mobile,Undergraduate,Student,Laptop,1.6,Skill Upgrade,5.0,Mobile App Development,IT,Advanced,29.0,19.0,7.0,,Completed,2022-03-27,85.0,14.0,41.0,9.0,15.5,Quiz,60.73,84.29,86.75,3.0,21.333333333333332,85.52000000000001,24.8,0.4827586206896552,1190.0
Gary Black,26.0,Male,Car,Mobile,High School,Unemployed,Laptop,11.1,Skill Upgrade,10.0,Business Analytics,Business,Advanced,13.0,19.0,7.0,,Dropped,2022-09-17,32.6,11.0,48.0,12.0,108.2,Assignment,-6.691250000000011,85.62,58.2,3.0,23.666666666666668,71.91,1201.02,0.8461538461538461,358.6
Henry Gonzalez,16.0,Other,Ncr,Mobile,College,Unemployed,Laptop,14.2,Academic Requirement,12.0,Machine Learning A-Z,Business,Intermediate,13.0,12.0,22.0,,Ongoing,2022-04-10,116.5,1.0,10.0,0.0,82.7,Quiz,91.75,91.21,36.53,1.0,3.6666666666666665,63.87,1174.34,0.07692307692307693,116.5
Monica Fitzpatrick,41.0,Other,Region Ii,Broadband,College,Employed,Laptop,2.7,Skill Upgrade,15.0,Mobile App Development,Business,Advanced,26.0,3.0,7.0,,Ongoing,2022-05-26,25.2,4.0,19.0,24.0,158.7,Assignment,40.0,30.59,60.81,2.0,15.666666666666666,45.7,428.49,0.15384615384615385,100.8
James Williams,29.0,Male,Ncr,Broadband,High School,Student,Mobile,8.3,Skill Upgrade,4.0,Data Science Fundamentals,Business,Advanced,24.0,12.0,4.0,2023-10-09,Ongoing,2024-11-09,76.6,26.0,15.0,3.0,-77.31250000000003,Quiz,99.08,39.24,69.79,2.0,14.666666666666666,54.515,-641.6937500000003,1.0,1991.6
Jessica Woodward,-4.0,Female,Region Vii,Mobile,High School,Employed,Desktop,6.4,,13.0,Machine Learning A-Z,IT,Beginner,22.0,7.0,13.0,,Completed,2023-11-01,117.8,22.0,19.0,23.0,50.6,Assignment,38.12,33.85,76.06,1.0,21.333333333333332,54.955,323.84000000000003,1.0,2591.6
None,47.0,Female,Region Iii,Mobile,College,Student,Laptop,3.4,Skill Upgrade,3.0,Python For Beginners,Business,Intermediate,13.0,11.0,22.0,,Dropped,2022-04-24,106.4,9.0,36.0,3.0,268.7875,Quiz,33.22,94.42,65.445,4.0,16.0,79.9325,913.8775,0.6923076923076923,957.6
Lori Hopkins,36.0,Male,Region Vi,Broadband,High School,Unemployed,Desktop,18.1,Academic Requirement,1.0,Data Science Fundamentals,Science,Intermediate,29.0,13.0,14.0,,Dropped,2023-05-12,110.6,25.0,46.0,24.0,35.6,Quiz,46.31,88.77,65.445,4.0,31.666666666666668,77.10749999999999,644.3600000000001,0.8620689655172413,2765.0
Cody Hicks,29.0,Female,Region Iv-A,Limited,High School,Student,Laptop,29.45,Academic Requirement,13.0,Ui/Ux Design Principles,Science,Beginner,7.0,19.0,16.0,2022-08-05,Completed,2023-04-30,154.7,13.0,47.0,14.0,22.7,Quiz,83.91,37.4,51.98,3.0,24.666666666666668,44.69,668.515,1.0,2011.1
Nicole Woods,45.0,Male,Ncr,Mobile,College,Employed,Mobile,29.45,Career Change,2.0,Ui/Ux Design Principles,Science,Advanced,6.0,11.0,34.0,,Ongoing,2023-05-27,27.3,16.0,49.0,4.0,78.1,Quiz,35.88,-3.8287500000000207,99.8,4.0,23.0,47.985624999999985,2300.0449999999996,1.0,436.8
Tiffany Powell,37.0,Female,Ncr,Mobile,Graduate,Employed,Mobile,10.5,Personal Interest,13.0,Cybersecurity Essentials,IT,Intermediate,13.0,29.5,23.0,,Ongoing,2024-09-08,57.6,7.0,33.0,25.0,13.3,Final Exam,55.14,63.93,65.17,3.0,21.666666666666668,64.55,139.65,0.5384615384615384,403.2
Ross Mendoza,76.0,Female,Region Xi,Broadband,Graduate,Student,Mobile,2.9,Skill Upgrade,1.0,Cybersecurity Essentials,Math,Intermediate,16.0,8.0,22.0,2024-05-01,Completed,2023-12-22,105.8,7.0,31.0,5.0,25.3,Quiz,31.39,53.22,86.45,2.0,14.333333333333334,69.83500000000001,73.37,0.4375,740.6
Joshua Hatfield,25.0,Male,Region Ix,Mobile,Graduate,Employed,Mobile,8.1,Personal Interest,3.0,Ui/Ux Design Principles,IT,Beginner,28.0,18.0,9.0,2024-01-01,Ongoing,2022-12-26,134.8,6.0,44.0,12.0,141.0,Quiz,72.17,97.73,69.59,2.0,20.666666666666668,83.66,1142.1,0.21428571428571427,808.8000000000001
Taylor Wilson,36.0,Male,Car,Broadband,College,Unemployed,Mobile,17.8,Skill Upgrade,6.0,Data Science Fundamentals,Business,Intermediate,30.0,-3.0,18.0,2022-07-12,Ongoing,2024-02-15,73.8,26.0,41.0,7.0,22.5,Assignment,31.41,37.33,92.16,1.0,24.666666666666668,64.745,400.5,0.8666666666666667,1918.8
Madison Kirk,55.0,Other,Ncr,Broadband,College,Student,Tablet,17.9,Career Change,10.0,Cybersecurity Essentials,Science,Advanced,22.0,20.0,13.0,,Ongoing,2024-10-02,71.3,10.0,40.0,6.0,45.2,Quiz,63.15,84.94,92.64,5.0,18.666666666666668,88.78999999999999,809.08,0.45454545454545453,713.0
John Jenkins,39.0,Male,Region Vii,Broadband,College,Employed,Laptop,16.9,Career Change,3.0,Ui/Ux Design Principles,Arts,Intermediate,29.0,20.0,16.0,2024-07-05,Ongoing,2024-08-30,50.1,13.0,25.0,18.0,146.1,Final Exam,40.32,61.43,41.7,2.0,18.666666666666668,51.565,2469.0899999999997,0.4482758620689655,651.3000000000001
Nicole Williams,43.0,Non-Binary,Ncr,Mobile,College,Employed,Mobile,-8.55,Personal Interest,12.0,Business Analytics,Arts,Intermediate,5.0,19.0,7.0,,Ongoing,2022-07-25,105.7,10.0,22.0,8.0,92.5,Quiz,42.05,73.28,58.12,3.0,13.333333333333334,65.7,-790.8750000000001,1.0,1057.0
Paul Michael,33.0,Male,Region Xi,Broadband,College,Employed,Desktop,17.3,Skill Upgrade,4.0,Digital Marketing,IT,Intermediate,13.0,5.0,10.0,,Completed,2024-11-23,149.6,-6.0,45.0,4.0,99.1,Quiz,43.49,88.59,61.95,2.0,14.333333333333334,75.27000000000001,1714.43,0.0,-897.5999999999999
