student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating
Sean Lee,43,male,NCR,Limited,College,Employed,Laptop,7.1,Skill Upgrade,10,Digital Marketing,Business,intermediate,17,420,14,26/08/2022,Dropped,19/11/2024,10.2,15,12,19,116.3,Quiz,48.69,50.16,,5
Jason Koch,,Female,NCR,Mobile,High School,Employed,Mobile,13.3,Career change or promotion,9,Business Analytics,Science,Intermediate,20,20,10,06/11/2024,Completed,23/05/2022,144.3,30,17,9,152.4,assignment,64.27,2,68.63,4
Joseph Trujillo,31,Male,BARMM,,College,Student,Laptop,15.1,Personal Interest,12,Web Development Bootcamp,Arts,Beginner,9,13,18,,Completed,19/04/2024,-174.9,26,21,12,154.8,Final Exam,56.6,80.31,,1
Michelle Rose,30,Female,NCR,fiber,high school,Working professional,Mobile,9.4,Career Change,1,Python for Beginners,Business,Intermediate,16,10,22,04/01/2023,Completed,23/02/2024,50.9,5,40,8,162.8,Assignment,77.43,60.92,71.13,4
Jonathan Scott,28,male,NCR,Broadband,College,Unemployed,Laptop,11.9,Skill Upgrade,0,Machine Learning A-Z,Business,Beginner,23,4,19,10/08/2023,Completed,23/12/2023,42.3,25,42,4,163.6,Assignment,,55.54,93.67,4
David Rose,39,Female,CARAGA,Mobile,College,Unemployed,Laptop,15.2,Career Change,14,Web Development Bootcamp,N/A,Beginner,26,15,21,,Ongoing,11/09/2022,124.4,19,40,3,90.2,Final Exam,52.96,75.34,62.5,4
Destiny Boyle,35,Male,NCR,Broadband,Graduate,Student,Laptop,9.6,Earn a certificate,13,Web Development Bootcamp,Science,beginner,8,16,684,21/03/2023,Completed,13/01/2024,126.6,21,25,30,154.2,assignment,44.85,5094.96,47.05,5
Bob Hanna,53,Male,Region XI,,High School,,Tablet,1.1,Career Change,4,Web Development Bootcamp,IT,intermediate,5,14,11,02/02/2022,Completed,17/09/2022,99.4,16,23,3,47.7,exam,84.83,66.5,6921.08,4
Randy Hines,-44,Male,Region XI,mobile,High School,Student,Mobile,6.2,Academic Requirement,10,Mobile App Development,Arts,Intermediate,19,16,7,17/03/2023,Completed,27/04/2024,87.1,4,20,11,126.8,Quiz,88.22,36.76,86.82,5
Joseph Barton,23,non binary,n/a,WiFi,College,Working professional,Mobile,19.4,Personal Interest,3,Cybersecurity Essentials,IT,intermediate,20,6,21,25/07/2023,Dropped,23/02/2022,121.8,1,44,29,11,Final Exam,6916.91,98.03,67.13,4
Gina Torres,36,FEMALE,Region X,Mobile,High School,Student,Mobile,306,Skill Upgrade,14,Digital Marketing,Math,Intermediate,18,19,17,23/09/2024,Dropped,04/04/2022,6386.4,10,49,8,30.4,Assignment,42.3,79.26,88.33,1
Sarah Mcdonald,17,Male,ncr,Broadband,Graduate,Employed,Tablet,8.7,Skill Upgrade,3,UI/UX Design Principles,IT,Advanced,19,14,7,31/03/2024,Dropped,28/09/2023,47.7,3,7,6,69.4,quiz,87.05,40.25,72.17,1
Thomas Potter,45,,Region VI,Broadband,college,Unemployed,mobile,13.1,career change,10,Data Science Fundamentals,Arts,Intermediate,25,11,15,28/09/2023,Completed,27/04/2022,58.8,28,38,14,172.2,Quiz,61.48,75.63,63.29,1
James Palmer,21,Male,NCR,Broadband,graduate,Employed,Desktop,11,Personal Interest,11,Machine Learning A-Z,Science,N/A,15,4,24,07/11/2023,ongoing,02/03/2024,133,30,9,18,165.8,quiz,78.89,71.65,51.67,3
Megan Acosta,49,non binary,Region IV-A,Limited,College,Student,Laptop,6.9,Skill Upgrade,15,Web Development Bootcamp,IT,Beginner,14,6,21,,Dropped,26/09/2022,36.2,23,10,1,125,Assignment,72.74,84.87,46.74,4
Monica Lopez,52,Female,Region IX,Broadband,N/A,Employed,Desktop,11,Skill Upgrade,4,Python for Beginners,business,Intermediate,16,6,20,07/08/2023,Completed,13/07/2023,97.3,3,14,28,1073,Assignment,46.5,,95.16,3
Frederick Cervantes,46,Male,Region VIII,BROADBAND,Graduate,Employed,Tablet,-1.1,Skill Upgrade,6,Cloud Computing Basics,Cybersecurity,Advanced,21,12,-7,09/05/2024,Ongoing,25/07/2024,152.2,,32,22,83,Quiz,69.95,76.78,55.24,5
Donald Mitchell,40,Male,Region I,Broadband,College,Employed,smartphone,1.3,Skill Upgrade,7,Data Science Fundamentals,,Advanced,28,-7,21,25/12/2022,ongoing,09/08/2024,91.4,-5,49,1,17.4,Quiz,52.09,57.88,,2
Julia Wilson,37,Female,Region IV-A,Broadband,HS,Employed,Laptop,7.4,academic requirement,15,Cloud Computing Basics,Business,Beginner,28,16,9,20/10/2023,Dropped,29/08/2023,112.4,23,1540,19,56.7,Quiz,35.25,55.43,77.56,2
Robert Evans,18,Female,Region IX,broadband,College,Employed,Laptop,,Career Change,14,UI/UX Design Principles,Science,Inter,7,19,14,27/05/2023,Completed,17/01/2023,75.8,9,45,19,165.8,Quiz,-39.5,42.09,99.81,3
Allen Schmidt,50,Female,BARMM,Mobile,HIGH SCHOOL,Working professional,tablet,13.1,Academic Requirement,7,Cybersecurity Essentials,IT,Intermediate,30,14,15,23/09/2022,Completed,15/05/2022,179.9,17,26,2,-63.9,Assignment,77.61,91.46,74.79,2
Maria Jackson,49,Male,Region VII,Broadband,graduate,Student,Laptop,19,Skill Upgrade,2,Cloud Computing Basics,Business,Beginner,25,20,24,12/11/2022,Ongoing,23/11/2023,105.8,1,41,8,140.4,quiz,32.12,68.19,51.15,4
Christopher Suarez,26,male,Region IV-A,Mobile,College,student,Mobile,6.9,Career change or promotion,11,Web Development Bootcamp,,Intermediate,21,13,7,23/05/2023,Completed,18/08/2023,156.9,28,20,23,139.7,Final Exam,62.68,64.82,57.53,2
Christina Garcia,34,non-binary,Region II,Limited,College,Unemployed,Mobile,17.1,Skill Upgrade,11,UI/UX Design Principles,IT,Intermediate,6,9,13,29/10/2024,Ongoing,27/07/2023,116,5,25,10,72.2,Final Exam,65.64,33.17,53.31,4
Lisa Sanchez,55,Female,Region X,wifi,College,student,Laptop,10.6,Personal Interest,9,Python for Beginners,Science,Intermediate,26,16,,29/08/2024,dropped,12/04/2023,109.2,21,49,4,51.2,QUIZ,,51.96,78.34,5
James Hensley,24,MALE,Region XI,broadband,Graduate,Unemployed,Laptop,7,Academic Requirement,10,Business Analytics,Math,Intermediate,11,11,11,02/09/2023,In-progress,01/03/2023,93.1,18,50,9,125,Assignment,87.29,86.32,50.13,3
Stephanie Wright,46,female,Region VII,Limited,graduate,Employed,Mobile,3.1,Skill Upgrade,-7,Cloud Computing Basics,Business,beginner,12,16,19,,Ongoing,20/11/2022,169,16,48,10,20.1,quiz,70.19,80.62,93.93,2
Daniel Richards,41,Male,N/A,wifi,College,Student,Mobile,6.7,Skill Upgrade,9,Cloud Computing Basics,Arts,Intermediate,9,17,7,28/07/2024,In-progress,,67.3,22,11,20,150.6,Quiz,58.06,98.72,,4
David Chen,37,Other,Region VI,Mobile,College,STUDENT,Laptop,-14.2,Career Change,14,Machine Learning A-Z,Information Technology,Intermediate,27,6,13,29/03/2023,Completed,06/09/2024,137.1,14,30,25,47.1,project,71.71,66.79,55.32,80
Renee White,50,Female,BARMM,Limited,College,Student,desktop,4.9,Career Change,14,Digital Marketing,IT,Advanced,18,4,13,21/03/2024,Completed,23/03/2023,17.7,3,3,2,90.3,Quiz,83.83,98.48,59.43,4
Samantha Garrett,50,Female,NCR,Mobile,Graduate,Employed,Desktop,3.4,Career Change,0,Digital Marketing,Information Technology,INTERMEDIATE,22,15,11,14/11/2022,In-progress,,122.2,30,1,2,15.7,ASSIGNMENT,91.05,33.1,67.78,1
Joseph Chen,52,F,Region IX,limited,College,Employed,Laptop,17.6,Academic Requirement,7,Business Analytics,IT,Advanced,23,8,17,07/04/2022,completed,20/02/2024,64.2,5,11,15,48.3,Quiz,86.4,69.37,69.01,2
Desiree Mcconnell,44,Male,Region VI,mobile data,College,Student,Laptop,8.2,Career Change,2,Mobile App Development,Cybersecurity,intermediate,22,9,14,01/02/2022,Completed,29/08/2022,138.2,23,13,7,141.8,Final Exam,75.41,55.18,62.62,4
Joshua Moore,39,Male,Region VI,Mobile,GRADUATE,Student,Mobile,6,Academic Requirement,13,Cybersecurity Essentials,Business,Beginner,17,10,24,23/11/2023,Ongoing,01/10/2024,134.6,5,31,28,1667.4,Quiz,96.16,83.5,88.98,
Ashley Williams,19,non binary,N/A,mobile,Graduate,EMPLOYED,Desktop,1.3,Personal Interest,,Business Analytics,Arts,Intermediate,5,16,9,17/07/2022,Completed,29/01/2023,52.9,26,23,14,178.3,final exam,-87.96,99.42,32.22,4
Gregory Miller,26,Female,Region I,Broadband,Graduate,Student,Desktop,18.5,academic requirement,15,Data Science Fundamentals,Information Technology,Intermediate,22,4,,01/03/2023,Completed - No Certificate,26/03/2024,60.9,19,24,17,138.5,final exam,80.69,6383,-46.25,5
Katherine Hampton,,Female,Region IX,Broadband,Graduate,Student,Laptop,11.5,Skill Upgrade,12,Mobile App Development,Business,Intermediate,27,11,24,08/03/2024,Completed,,62.4,9,5,14,97.1,Quiz,54.77,71.86,56.97,4
Michelle Calhoun,31,Male,Region II,Broadband,College,Student,Laptop,6.7,Career Change,5,Machine Learning A-Z,Business,Intermediate,30,11,24,05/02/2023,Completed,,77.3,13,21,13,156.1,Quiz,51.03,78.67,42.43,3
Stacey Green,52,Female,Region XI,Broadband,,Employed,Laptop,3.2,Academic Requirement,5,Cloud Computing Basics,IT,ADVANCED,19,9,13,22/05/2022,Dropped,19/10/2024,61.5,5,50,14,91.5,Assignment,94.64,,97.79,5
John Moore,31,Female,Region VII,broadband,Graduate,Student,Tablet,19.7,Personal Interest,10,Machine Learning A-Z,IT,Beginner,8,19,21,29/03/2023,Dropped,06/08/2024,110.1,12,30,13,24.6,exam,39.92,61.87,63.8,4
Crystal French,3500,Male,NCR,Broadband,high school,Student,desktop,16.2,Earn a certificate,7,Cloud Computing Basics,IT,Intermediate,22,17,16,17/01/2023,Dropped,,114.4,19,0,6,129.6,Final Exam,37.12,43.09,62.03,4
Gary Howard,40,M,NCR,Broadband,College,Employed,Tablet,4.3,Skill Upgrade,2,UI/UX Design Principles,IT,Intermediate,14,14,20,10/10/2022,Dropped,16/01/2023,101.4,30,35,9,63.5,Quiz,90.59,63.92,56.88,4
Michael Fitzgerald,44,Male,Region VI,Mobile,Undergraduate,Student,Laptop,1.6,Skill Upgrade,5,Mobile App Development,Programming,expert,29,19,7,22/01/2024,Completed - No Certificate,27/03/2022,85,14,41,9,15.5,Quiz,60.73,84.29,86.75,3
Gary Black,26,Male,CAR,Mobile,High School,Unemployed,Laptop,11.1,Skill Upgrade,10,Business Analytics,Business,Advanced,13,19,7,22/04/2024,Dropped,17/09/2022,32.6,11,48,12,108.2,Assignment,-56.26,85.62,58.2,3
Henry Gonzalez,16,Other,NCR,mobile data,College,unemployed,laptop,14.2,Academic Requirement,12,Machine Learning A-Z,Business,Intermediate,13,12,22,20/09/2024,ongoing,10/04/2022,116.5,1,10,0,82.7,Quiz,91.75,91.21,36.53,1
Monica Fitzpatrick,41,Other,Region II,WiFi,College,Employed,laptop,2.7,Skill Upgrade,15,Mobile App Development,Business,Advanced,26,3,7,14/05/2024,Ongoing,26/05/2022,25.2,4,19,24,158.7,assignment,40,30.59,60.81,2
James Williams,29,Male,NCR,WiFi,High School,student,phone,8.3,Skill Upgrade,4,Data Science Fundamentals,Business,Advanced,24,12,4,10/09/2023,Ongoing,09/11/2024,76.6,26,15,3,-118.5,Quiz,99.08,39.24,69.79,2
Jessica Woodward,-53,Female,Region VII,Mobile,High School,Employed,Desktop,6.4,none,13,Machine Learning A-Z,IT,beginner,22,7,13,21/02/2023,Completed,01/11/2023,117.8,22,19,23,50.6,Assignment,38.12,33.85,76.06,1
,47,female,Region III,mobile data,College,Student,Laptop,3.4,Skill Upgrade,3,Python for Beginners,Business,Intermediate,13,11,22,13/10/2024,Dropped,24/04/2022,106.4,9,36,3,1061.5,Quiz,33.22,94.42,,4
Lori Hopkins,36,Male,Region VI,Broadband,High School,Unemployed,desktop,18.1,Academic Requirement,1,Data Science Fundamentals,Science,Intermediate,29,13,,15/02/2023,Dropped,12/05/2023,110.6,25,46,24,35.6,Quiz,46.31,88.77,,4
Cody Hicks,29,Female,Region IV-A,Limited,High School,Student,LAPTOP,245.7,Academic Requirement,13,UI/UX Design Principles,Science,basic,7,19,16,08/05/2022,Completed,30/04/2023,154.7,13,47,14,22.7,,83.91,37.4,51.98,3
Nicole Woods,45,Male,NCR,Mobile,college,Employed,MOBILE,724.2,Career Change,2,UI/UX Design Principles,Science,Advanced,6,11,549,15/07/2024,Ongoing,27/05/2023,27.3,,49,4,78.1,quiz,35.88,-94.22,99.8,4
Tiffany Powell,37,Female,NCR,Mobile,Graduate,Employed,phone,,personal interest,13,Cybersecurity Essentials,IT,Intermediate,13,623,23,28/08/2023,Ongoing,08/09/2024,57.6,7,33,25,13.3,exam,55.14,63.93,65.17,
Ross Mendoza,2310,female,Region XI,N/A,Graduate,Student,Mobile,2.9,Skill Upgrade,1,Cybersecurity Essentials,Math,Intermediate,16,8,22,05/01/2024,Completed,22/12/2023,105.8,7,31,5,25.3,Quiz,31.39,53.22,86.45,2
Joshua Hatfield,25,Male,Region IX,Mobile,Graduate,Employed,Mobile,8.1,Personal Interest,3,UI/UX Design Principles,IT,Beginner,28,18,9,01/01/2024,Ongoing,26/12/2022,134.8,6,44,12,141,Quiz,72.17,97.73,69.59,2
Taylor Wilson,36,Male,CAR,BROADBAND,college,unemployed,phone,17.8,Skill Upgrade,6,Data Science Fundamentals,Business,Intermediate,30,-3,18,07/12/2022,Ongoing,15/02/2024,73.8,26,41,7,22.5,Assignment,31.41,37.33,92.16,1
Madison Kirk,55,Prefer not to say,NCR,Broadband,college,Student,Tablet,17.9,Career Change,10,Cybersecurity Essentials,Science,advanced,22,20,13,16/07/2022,Ongoing,02/10/2024,71.3,10,40,6,45.2,Quiz,63.15,84.94,92.64,5
John Jenkins,39,Male,Region VII,Broadband,College,Employed,Laptop,16.9,Career Change,3,UI/UX Design Principles,Arts,Intermediate,29,20,16,07/05/2024,ongoing,30/08/2024,50.1,13,,18,146.1,Final Exam,40.32,61.43,41.7,2
Nicole Williams,43,Non-binary,NCR,mobile,College,Employed,phone,-18.4,Personal Interest,12,Business Analytics,Arts,Intermediate,5,19,7,31/10/2022,Ongoing,25/07/2022,105.7,10,22,8,92.5,Quiz,42.05,73.28,58.12,3
Paul Michael,33,Male,Region XI,Broadband,College,Employed,Desktop,17.3,Skill Upgrade,4,Digital Marketing,,Intermediate,13,5,10,13/04/2024,n/a,23/11/2024,149.6,-6,45,4,99.1,Quiz,43.49,88.59,61.95,2
Dana Choi,23,Female,Region XI,Limited,Graduate,Employed,Mobile,19.2,Academic Requirement,11,Business Analytics,Programming,advanced,7,-15,22,15/03/2023,completed,07/04/2023,55.7,1,49,15,120.1,Quiz,45.66,96.01,79.66,4
John Brooks,45,female,CAR,mobile,College,Unemployed,Mobile,1.1,Personal Interest,9,Data Science Fundamentals,Arts,Beginner,15,13,12,04/09/2023,Ongoing,08/05/2023,146.9,20,20,,94.6,Assignment,58.32,70.81,87.12,2
Anthony Davis,38,Male,CARAGA,broadband,Graduate,Student,Laptop,2.9,Skill Upgrade,5,UI/UX Design Principles,business,Beginner,12,12,14,26/08/2023,Completed,21/08/2024,117.8,20,12,27,100.1,Quiz,39.62,58.64,93.46,3
Jonathan Gilmore,47,Male,Region XI,broadband,High School,Student,Desktop,6.2,Skill Upgrade,5,Data Science Fundamentals,IT,Advanced,18,15,19,19/03/2022,In-progress,04/02/2024,161.6,17,,23,127.9,Quiz,37.19,771.45,50.87,5
Christopher Gonzalez,24,male,Region XI,WiFi,College,Student,Laptop,1.4,Career Change,6,Mobile App Development,Arts,Beginner,8,4,24,31/12/2024,Ongoing,09/04/2022,,23,28,17,129.3,final exam,74.12,76.32,48.9,2
Emily Sampson,55,Male,Region IX,Mobile,Graduate,Student,Tablet,4.8,Academic Requirement,6,Machine Learning A-Z,Business,Beginner,6,9,19,,Completed,15/08/2022,123.7,3,4,3,119.5,Assignment,1551.68,91.19,55.22,4
Daniel Kim,,Male,Region I,broadband,College,Employed,Laptop,18,Skill Upgrade,2,UI/UX Design Principles,IT,Beginner,17,17,16,06/09/2024,dropped,08/12/2022,3849,4,37,18,40.8,Assignment,72.8,91.6,92.42,4
Taylor Collins,20,Female,NCR,BROADBAND,college,Unemployed,,15.1,Skill Upgrade,10,Mobile App Development,IT,Intermediate,26,18,24,,Completed,01/11/2024,154.8,3,20,-8,47.9,Assignment,-87.2,61.09,36.16,3
Daniel Santana,17,Female,NCR,Limited,Graduate,Student,Mobile,16,career change,9,Cloud Computing Basics,Business,beginner,26,13,5,19/07/2024,none,26/08/2024,71.8,4,,11,174,Final Exam,56.17,92.78,87.53,4
Dustin Romero,23,Female,Region VII,Broadband,,Student,LAPTOP,7.4,Career Change,3,Digital Marketing,Science,intermediate,23,7,4,10/04/2022,Dropped,16/09/2024,142.8,23,46,3,112.1,Assignment,91.7,72.63,47.38,3
Kevin Pratt,24,Prefer not to say,Metro Manila,wifi,Graduate,Employed,tablet,11.4,Earn a certificate,6,Mobile App Development,Cybersecurity,Intermediate,26,7,24,31/12/2022,COMPLETED,23/10/2023,139.3,19,42,21,153,Assignment,86.58,31.77,76.92,2
Lori Avila,19,Female,Region VII,WiFi,Graduate,Student,Laptop,16.5,personal interest,7,Cloud Computing Basics,Science,Intermediate,21,12,5,04/03/2024,ongoing,03/10/2023,19.1,7,49,14,165,quiz,55.74,81.69,80.74,4
Wesley Gates,27,Male,Region XI,Mobile,College,Employed,Tablet,6,Skill Upgrade,0,Web Development Bootcamp,IT,Beginner,15,12,22,30/05/2022,Dropped,12/12/2024,3056.2,6,34,11,46.3,Assignment,50.55,73.28,69.29,1
Patricia Mcintosh,55,Female,NCR,limited,College,Employed,Mobile,8.3,Skill Upgrade,0,UI/UX Design Principles,Arts,Advanced,19,12,10,18/06/2022,Completed,,21.1,25,43,3,150.9,test,84.26,95.78,40.76,
Laurie Moss,32,FEMALE,CAR,Mobile,College,Employed,Laptop,9.6,Skill Upgrade,0,Data Science Fundamentals,Arts,Beginner,25,5,-22,29/05/2022,Ongoing,06/08/2022,126.6,10,28,26,90.6,Quiz,82.27,89.46,74.38,3
Rachael Dickerson,51,Male,NCR,Limited,Graduate,Employed,Desktop,11.4,Skill Upgrade,11,Cloud Computing Basics,IT,Beginner,10,11,9,22/04/2022,Ongoing,02/08/2024,22.4,9,46,30,31.8,Quiz,1698.64,52.25,73.14,5
Ashley Bishop,36,Male,NCR,Broadband,College,,Laptop,14.5,Skill Upgrade,11,UI/UX Design Principles,Arts,Intermediate,19,12,7,17/06/2022,Completed,07/02/2023,-160.7,3,32,26,78.9,Quiz,68.61,99.91,84.26,2
Timothy Bates,34,male,Region III,Mobile,College,Employed,Desktop,1.2,Academic Requirement,5,Web Development Bootcamp,Science,Beginner,10,7,19,24/03/2022,Ongoing,20/04/2023,,7,50,15,,quiz,52.68,66.5,88.44,5
Wendy Johnson,39,Male,Region III,Broadband,College,Student,Desktop,8.7,Skill Upgrade,15,Mobile App Development,IT,Intermediate,9,10,24,04/11/2022,Dropped,31/08/2022,80.5,4,30,18,,Quiz,38.95,39.43,92.36,2
Morgan Morales,41,FEMALE,Region I,Mobile,COLLEGE,Freelancer,laptop,16.6,Skill Upgrade,14,Digital Marketing,Arts,Beginner,12,7,9,12/11/2024,In-progress,03/12/2023,6461.2,13,1,27,126.3,Final Exam,36.74,,84.87,1
Patricia Mcdowell,54,Male,METRO MANILA,,college,STUDENT,Desktop,10.9,Career Change,13,Digital Marketing,,Intermediate,16,6,12,22/04/2023,Completed,04/08/2023,102.4,1,,16,11.2,final exam,86.3,37.46,70.98,5
Christy Ward,41,Female,Region VI,Limited,Graduate,Student,Laptop,11.6,Skill Upgrade,11,Machine Learning A-Z,Programming,Beginner,26,10,9,07/11/2024,Dropped,17/04/2022,,3,30,13,54.7,Final Exam,32.64,98.91,66.47,160
Billy Nguyen,16,non-binary,N/A,Limited,College,Student,Mobile,15.9,academic requirement,7,Python for Beginners,Science,Intermediate,,8,12,25/12/2023,Dropped,15/02/2023,2841.3,18,35,11,148.6,Quiz,61.83,30.33,65.44,5
Tanner Brown,32,FEMALE,Region VII,MOBILE,College,Employed,Tablet,10.2,Skill Upgrade,14,Mobile App Development,IT,Intermediate,8,15,11,16/04/2023,Dropped,25/12/2023,11.7,8,25,26,104.3,Assignment,54.75,48.84,77.82,4
Pamela Joseph,32,Male,CARAGA,Broadband,Graduate,Employed,Mobile,15.8,Career Change,15,Cloud Computing Basics,IT,Intermediate,16,18,22,02/10/2024,n/a,12/11/2024,47.8,2,27,,69,,42.24,78.88,,2
Mark Estrada,55,Male,Region VI,Broadband,College,Employed,Desktop,19.2,Skill Upgrade,15,Machine Learning A-Z,DATA SCIENCE,mid,16,15,9,14/04/2023,In-progress,07/07/2023,104.4,7,47,,81.7,quiz,66.19,84.97,69.35,4
Samuel Lowe,32,Non-binary,NCR,Broadband,HS,Employed,Laptop,7.9,Skill Upgrade,,Data Science Fundamentals,Business,intermediate,24,20,13,11/11/2024,Completed - No Certificate,04/07/2024,74.8,21,10,29,117.3,Quiz,35.54,51.94,79.73,4
Tracie Patterson,39,female,Region IV-A,Broadband,College,Student,Mobile,3.4,Skill Upgrade,2,Machine Learning A-Z,IT,Beginner,7,18,4,09/12/2024,Completed,01/08/2022,36.4,29,14,9,31.5,Quiz,32,90.23,63.33,5
John Lloyd,50,F,Region IV-A,broadband,HS,unemployed,Tablet,9.3,Academic Requirement,9,Digital Marketing,Arts,Beginner,30,12,12,,n/a,07/10/2022,,30,48,0,145.7,Quiz,68.37,91.75,47.49,4
Caroline Diaz,43,female,Region VIII,mobile,graduate,Student - full time,Laptop,6.4,Skill Upgrade,13,Data Science Fundamentals,IT,Beginner,14,17,12,04/10/2024,Completed,08/11/2022,100.9,4,8,,,Quiz,53.93,85.96,62.46,-3
Jonathan Smith,19,Female,NCR,Limited,Graduate,Student,Mobile,18,Personal Interest,0,Cybersecurity Essentials,Science,expert,19,4,7,03/03/2023,ongoing,02/10/2023,37,24,33,15,43.8,assignment,45.25,74.3,41.72,1
none,18,Prefer not to say,Region III,MOBILE,Graduate,Student,Laptop,15.6,Personal Interest,2,UI/UX Design Principles,,beginner,6,7,7,22/04/2023,Ongoing,13/12/2023,84.6,23,46,,130.1,Final Exam,78.79,43.06,81.27,5
Timothy Perez,49,Female,CAR,Broadband,Graduate,Employed,Desktop,1,Personal Interest,5,Mobile App Development,Science,N/A,24,5,21,24/01/2023,Ongoing,12/11/2022,64.8,4,-42,26,,Quiz,63.98,69.97,76.05,5
